"ensembl_gene_id","entrezgene","gene_name","description","biotype","baseMean","log2FoldChange","fold_change","pvalue","padj","12475_WT","12409_WT","12408_WT","12406_KO","12403_KO","12401_KO","12329_KO","12287_WT","12281_KO","12280_WT"
"ENSMUSG00000097391",NA,"Mirg","miRNA containing gene ","lincRNA",155.991791037126,0.524984886874258,1.43891850636767,2.0790555394219e-05,0.0209880656704641,123,132,132,159,213,148,254,94,214,90
"ENSMUSG00000045498",93874,"Pcdhb3","protocadherin beta 3 ","protein_coding",277.741072881469,-0.427481729877859,0.743558558340773,2.28975515340794e-05,0.0211805151209047,326,300,298,192,241,204,278,363,225,351
"ENSMUSG00000034584",320051,"Exph5","exophilin 5 ","protein_coding",220.731875074996,-0.50620456688052,0.704072272480507,2.36038430024941e-05,0.0211805151209047,264,231,281,214,183,110,180,294,143,306
"ENSMUSG00000074818",100503041,"Pdzd7","PDZ domain containing 7 ","protein_coding",58.2040115909589,-0.540307369107779,0.687624393689465,3.03129704788866e-05,0.0257692157460514,83,94,55,50,39,25,52,69,28,86
"ENSMUSG00000080205",NA,"Gm15526","predicted gene 15526 ","processed_pseudogene",15.3508528146804,0.504592663854189,1.41872273193555,3.83511404063762e-05,0.0309723809921894,9,8,10,18,14,21,21,6,42,5
"ENSMUSG00000078636",NA,"Gm7336","predicted gene 7336 ","processed_pseudogene",312.498265896643,-0.493111915843322,0.710490903724013,4.31156995850025e-05,0.0331621323665219,314,317,459,276,240,248,222,329,197,525
"ENSMUSG00000025348",16404,"Itga7","integrin alpha 7 ","protein_coding",383.486851988081,0.428281936467778,1.34563015053878,5.07783864750606e-05,0.037280568106599,307,343,312,497,444,531,474,308,326,293
"ENSMUSG00000040938",216867,"Slc16a11","solute carrier family 16 (monocarboxylic acid transporters), member 11 ","protein_coding",250.761744407665,0.416670499770929,1.33484340071798,5.92088029880163e-05,0.0382778583131856,238,187,239,288,269,274,340,168,305,198
"ENSMUSG00000028546",15572,"Elavl4","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D) ","protein_coding",1761.73495546874,-0.338724528847047,0.790740087725853,5.95295998689259e-05,0.0382778583131856,2010,1642,2003,1594,1637,1380,1528,2218,1502,2103
"ENSMUSG00000009376",17295,"Met","met proto-oncogene ","protein_coding",236.686454817213,-0.487984093116599,0.713020720270702,5.97178614385253e-05,0.0382778583131856,377,204,264,201,216,165,153,288,160,339
"ENSMUSG00000053279",11668,"Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1 ","protein_coding",2167.66039264253,0.481803993814346,1.39648879102634,6.16161661802145e-05,0.0382778583131856,1882,2039,1673,2041,2264,3221,2683,1413,3196,1264
"ENSMUSG00000040441",216441,"Slc26a10","solute carrier family 26, member 10 ","protein_coding",100.370327985483,0.502368448206076,1.41653715979804,6.79288818771629e-05,0.0399345252015259,79,106,63,140,130,158,106,56,105,61
"ENSMUSG00000095041",NA,"","","protein_coding",1674.95850715626,0.47272540577195,1.38772856165092,7.1426966828708e-05,0.0399345252015259,1549,1284,1204,1677,2430,1720,2448,919,2019,1499
"ENSMUSG00000084950",NA,"Gm5577","predicted gene 5577 ","antisense",33.5123730011509,0.503951056007413,1.41809192554109,7.38290747380621e-05,0.0399345252015259,28,26,21,45,46,34,48,24,42,22
"ENSMUSG00000079045",NA,"Prox1os","prospero homeobox 1, opposite strand ","antisense",54.9553973144366,0.515425357694628,1.42941552003974,7.41725950994167e-05,0.0399345252015259,26,53,31,87,54,113,68,36,51,29
"ENSMUSG00000034402",238271,"Kcnh5","potassium voltage-gated channel, subfamily H (eag-related), member 5 ","protein_coding",248.975720631448,-0.477023231100166,0.718458519149153,9.59971825228056e-05,0.0481483046026552,288,225,304,224,200,137,166,398,219,330
"ENSMUSG00000086859",NA,"Snhg20","small nucleolar RNA host gene 20 ","lincRNA",161.26355841551,0.470181059000785,1.38528331099992,9.76182691956739e-05,0.0481483046026552,147,134,104,154,183,172,216,109,270,124
"ENSMUSG00000048138",226049,"Dmrt2","doublesex and mab-3 related transcription factor 2 ","protein_coding",25.3637280423131,-0.477570836134338,0.718185864961915,9.8371350414043e-05,0.0481483046026552,42,31,36,28,19,8,7,43,5,36
"ENSMUSG00000020932",14580,"Gfap","glial fibrillary acidic protein ","protein_coding",7855.64656843366,0.482071031588754,1.39674730011035,0.000101594483573457,0.0482633558434846,4940,8664,5659,9298,8924,13208,9398,5574,8301,4591
"ENSMUSG00000030515",272396,"Tarsl2","threonyl-tRNA synthetase-like 2 ","protein_coding",1048.99691191563,-0.232266330385976,0.851296538660466,0.000119710656308269,0.0552447577340331,1131,1073,1137,1004,976,897,929,1142,993,1208
"ENSMUSG00000029263",433931,"Pigg","phosphatidylinositol glycan anchor biosynthesis, class G ","protein_coding",489.013095903962,-0.251102399604399,0.840254110562878,0.000125335288045801,0.0562092961880641,509,564,523,452,453,416,444,546,452,530
"ENSMUSG00000035283",11554,"Adrb1","adrenergic receptor, beta 1 ","protein_coding",1225.46588488057,-0.375404382994158,0.770889304510982,0.00012876077011877,0.0562092961880641,1357,1297,1697,826,1054,1033,1190,1407,1071,1324
"ENSMUSG00000017677",78889,"Wsb1","WD repeat and SOCS box-containing 1 ","protein_coding",763.282400305565,0.401022712050623,1.32044362832321,0.0001425543675599,0.0605931090744082,679,702,593,840,978,749,851,495,1061,685
"ENSMUSG00000090386",NA,"Mir99ahg","Mir99a and Mirlet7c-1 host gene (non-protein coding) ","processed_transcript",52.0425128128927,0.475876249855941,1.39076267105555,0.000168176726312603,0.0696510380359272,31,37,53,64,52,69,64,43,80,29
"ENSMUSG00000025221",80906,"Kcnip2","Kv channel-interacting protein 2 ","protein_coding",4677.77990568781,0.262389864884761,1.19946400564991,0.000184277020596701,0.0744110609169477,4189,4769,4065,4746,5137,5573,5301,4043,4932,4023
"ENSMUSG00000026544",68440,"Dusp23","dual specificity phosphatase 23 ","protein_coding",150.796946357498,0.360428631951112,1.28380726650117,0.000196865708018075,0.0775554857538522,133,128,126,174,146,181,170,133,196,122
"ENSMUSG00000004626",20911,"Stxbp2","syntaxin binding protein 2 ","protein_coding",402.722816450561,0.320826795679212,1.24904616105738,0.000224884979451153,0.0845651284376946,334,369,370,445,491,391,516,335,424,351
"ENSMUSG00000050069",23893,"Grem2","gremlin 2, DAN family BMP antagonist ","protein_coding",472.770993863456,-0.317430488477044,0.802497894135498,0.000225194459670432,0.0845651284376946,556,474,551,428,417,367,404,484,454,594
"ENSMUSG00000044244",213208,"Il20rb","interleukin 20 receptor beta ","protein_coding",19.5238201696563,0.41967070334949,1.33762220627316,0.000237392007030658,0.0845651284376946,10,21,3,39,20,48,25,7,17,5
"ENSMUSG00000040420",320865,"Cdh18","cadherin 18 ","protein_coding",408.08136271372,-0.34091592506957,0.789539896824558,0.000239191456971046,0.0845651284376946,403,420,485,368,359,295,364,501,374,514
"ENSMUSG00000025986",227059,"Slc39a10","solute carrier family 39 (zinc transporter), member 10 ","protein_coding",5555.97931317545,-0.360903139646412,0.778676968495581,0.00024083679470864,0.0845651284376946,6998,5106,6227,5107,5462,4065,4644,6918,4337,6695
"ENSMUSG00000024172",240119,"St6gal2","beta galactoside alpha 2,6 sialyltransferase 2 ","protein_coding",824.286957661227,-0.359187280448543,0.779603633422229,0.000295445940094154,0.10153282605108,1064,725,919,690,757,623,670,988,763,1042
"ENSMUSG00000052726",240776,"Kcnt2","potassium channel, subfamily T, member 2 ","protein_coding",516.733836655843,-0.270339198687162,0.829124583589962,0.000309988766701012,0.104139016570755,540,572,565,506,488,458,404,579,461,593
"ENSMUSG00000106139",NA,"Gm43194","predicted gene 43194 ","lincRNA",30.3624875414962,-0.467974205999507,0.722979073328164,0.000315924455916729,0.104139016570755,48,37,50,18,20,19,22,31,28,31
"ENSMUSG00000042942",381157,"Greb1l","growth regulation by estrogen in breast cancer-like ","protein_coding",120.445049197176,-0.399769784541201,0.757979226773131,0.000336985760621927,0.108396342925355,113,137,167,99,113,98,105,144,78,152
"ENSMUSG00000051678",93877,"Pcdhb6","protocadherin beta 6 ","protein_coding",126.217423513425,-0.446157791048399,0.733995034813291,0.000346508046939382,0.108396342925355,123,160,169,59,106,99,87,162,132,166
"ENSMUSG00000067818",98932,"Myl9","myosin, light polypeptide 9, regulatory ","protein_coding",407.23827587905,0.295140856484865,1.22700476912729,0.0003489728722213,0.108396342925355,362,387,405,485,460,433,459,335,432,315
"ENSMUSG00000025178",84095,"Pi4k2a","phosphatidylinositol 4-kinase type 2 alpha ","protein_coding",2680.81499178735,-0.154386194009069,0.898514571689044,0.000363321542845663,0.108722276308742,2705,2901,2874,2581,2547,2492,2560,2877,2484,2786
"ENSMUSG00000047161",71367,"Chst9","carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 ","protein_coding",18.508800805299,0.392867043374241,1.31300011571354,0.000363484579041113,0.108722276308742,14,8,4,29,17,66,18,6,14,9
"ENSMUSG00000040565",107182,"Btaf1","B-TFIID TATA-box binding protein associated factor 1 ","protein_coding",632.487442031221,-0.452262631107811,0.730895658372455,0.000406243095085015,0.118214258661113,729,823,756,622,598,333,516,926,277,746
"ENSMUSG00000024186",50782,"Rgs11","regulator of G-protein signaling 11 ","protein_coding",288.365518304502,0.433229811431116,1.35025305404904,0.000409856270741847,0.118214258661113,202,298,204,301,386,281,408,159,385,261
"ENSMUSG00000079110",12335,"Capn3","calpain 3 ","protein_coding",167.87324842181,0.439626854737036,1.35625349445421,0.000430380340658373,0.120165817306866,135,166,106,223,162,296,171,118,184,119
"ENSMUSG00000025017",83490,"Pik3ap1","phosphoinositide-3-kinase adaptor protein 1 ","protein_coding",55.1225406505687,-0.440068709533382,0.737099502841827,0.000431501820443181,0.120165817306866,79,65,69,52,56,36,35,64,32,63
"ENSMUSG00000103081",93705,"Pcdhgb8","protocadherin gamma subfamily B, 8 ","polymorphic_pseudogene",191.749612643666,-0.447574169660184,0.733274782313326,0.000461821363082271,0.126429468754319,238,275,225,32,145,132,117,266,178,310
"ENSMUSG00000078185",12663,"Chml","choroideremia-like ","protein_coding",262.465657972807,-0.388306870295052,0.764025730026867,0.000495937855245094,0.129928732982015,285,261,313,256,250,161,198,335,217,349
"ENSMUSG00000029022",28010,"Miip","migration and invasion inhibitory protein ","protein_coding",219.767356099232,0.36516896144682,1.28803246879328,0.000495950845420205,0.129928732982015,177,229,173,235,223,259,249,163,306,182
"ENSMUSG00000030222",232441,"Rerg","RAS-like, estrogen-regulated, growth-inhibitor ","protein_coding",220.134482561143,0.434239190177647,1.35119808649788,0.00050487108796788,0.129928732982015,154,201,172,284,176,391,260,167,243,154
"ENSMUSG00000025190",14718,"Got1","glutamic-oxaloacetic transaminase 1, soluble ","protein_coding",10916.449944736,-0.202187829771756,0.869231384292955,0.000506779976341442,0.129928732982015,11302,10980,11706,10083,9452,10021,10371,12695,10626,11927
"ENSMUSG00000024830",58988,"Rps6kb2","ribosomal protein S6 kinase, polypeptide 2 ","protein_coding",359.310953688329,0.391394193123724,1.31166035526975,0.000532996961298602,0.134213421283028,345,326,297,377,403,361,506,214,471,292
"ENSMUSG00000097636",NA,"Mirt1","myocardial infarction associated transcript 1 ","lincRNA",33.3059239168233,0.444052540315093,1.36042039552678,0.000546659600114476,0.134213421283028,21,29,15,45,42,47,40,26,36,32
"ENSMUSG00000046321",195646,"Hs3st2","heparan sulfate (glucosamine) 3-O-sulfotransferase 2 ","protein_coding",998.841910276943,-0.32880336927526,0.796196608230387,0.000548420369284288,0.134213421283028,1233,1057,1226,814,889,689,998,1091,933,1059
"ENSMUSG00000029335",110075,"Bmp3","bone morphogenetic protein 3 ","protein_coding",299.057015984936,-0.409569924935757,0.752847768180775,0.000569072113986286,0.137188847538903,407,244,404,253,286,196,263,356,200,383
"ENSMUSG00000024726",67383,"Carnmt1","carnosine N-methyltransferase 1 ","protein_coding",137.362079048039,-0.348370661718098,0.785470685158198,0.000594540060205131,0.141220750771078,144,157,173,138,124,100,108,166,115,148
"ENSMUSG00000021385",75678,"Ippk","inositol 1,3,4,5,6-pentakisphosphate 2-kinase ","protein_coding",496.61408940542,0.308107992852348,1.23808296399626,0.000648049592962458,0.151699956891734,373,502,410,592,514,612,514,424,559,467
"ENSMUSG00000053025",64176,"Sv2b","synaptic vesicle glycoprotein 2 b ","protein_coding",11832.1766245549,-0.255105086497566,0.837926097564912,0.000679164142840863,0.154494798422323,12517,11596,12247,11173,10422,10166,10326,13862,11336,14676
"ENSMUSG00000021250",14281,"Fos","FBJ osteosarcoma oncogene ","protein_coding",2261.08957302463,-0.438677734909556,0.737810520138387,0.000682985433373996,0.154494798422323,3263,2594,4004,958,1976,2048,1665,2421,1677,2004
"ENSMUSG00000026728",22352,"Vim","vimentin ","protein_coding",1211.91611178834,0.285900302741823,1.21917084051857,0.000688684094007382,0.154494798422323,1033,1157,1111,1385,1477,1312,1461,1054,1102,1027
"ENSMUSG00000039116",215798,"Adgrg6","adhesion G protein-coupled receptor G6 ","protein_coding",66.1119517220736,-0.403572131434546,0.755984137582528,0.000726133564095015,0.159919462912129,72,66,87,66,56,51,50,93,43,79
"ENSMUSG00000063704",332110,"Mapk15","mitogen-activated protein kinase 15 ","protein_coding",17.5100185771687,0.377263918815453,1.29887619037175,0.000732667177779691,0.159919462912129,11,17,4,30,23,39,32,3,9,7
"ENSMUSG00000025784",21922,"Clec3b","C-type lectin domain family 3, member b ","protein_coding",63.7507117614138,0.428919892542864,1.34622531634711,0.00075556553719974,0.162718594091336,51,58,61,88,59,71,97,36,80,36
"ENSMUSG00000029068",56036,"Ccnl2","cyclin L2 ","protein_coding",1069.60615286704,0.317681661985683,1.24632615571299,0.000766094338958559,0.162815207406035,1002,1110,865,1193,1206,1134,1250,735,1257,942
"ENSMUSG00000022439",64099,"Parvg","parvin, gamma ","protein_coding",255.04426335129,0.406218661564452,1.32520785648558,0.000801095267313324,0.166273457271732,209,255,177,317,272,432,266,199,247,176
"ENSMUSG00000002059",19376,"Rab34","RAB34, member RAS oncogene family ","protein_coding",382.821891112606,0.312248024356203,1.24164093283851,0.000815155298073119,0.166273457271732,345,370,354,410,389,457,420,270,481,331
"ENSMUSG00000064065",320495,"Ipcef1","interaction protein for cytohesin exchange factors 1 ","protein_coding",2784.07375224451,-0.315896508949733,0.803351622740968,0.000821282134093492,0.166273457271732,3540,2566,3184,2384,2604,1993,2541,3180,2604,3244
"ENSMUSG00000035486",216166,"Plk5","polo-like kinase 5 ","protein_coding",608.385192582026,0.320367801164085,1.24864883928685,0.000826487814015282,0.166273457271732,589,579,521,588,637,751,738,517,729,435
"ENSMUSG00000037406",330723,"Htra4","HtrA serine peptidase 4 ","protein_coding",38.3668544219427,0.432895729113913,1.34994041455792,0.000835172646668226,0.166273457271732,22,26,31,42,43,65,36,38,56,24
"ENSMUSG00000034674",21665,"Tdg","thymine DNA glycosylase ","protein_coding",489.96175770669,0.432149522330954,1.34924236389726,0.000845661331128235,0.166273457271732,272,469,239,550,754,709,506,539,578,282
"ENSMUSG00000047632",72514,"Fgfbp3","fibroblast growth factor binding protein 3 ","protein_coding",268.078431260543,-0.375733620293416,0.77071340000782,0.000854426507773264,0.166273457271732,347,296,387,207,174,257,230,283,243,257
"ENSMUSG00000036264",320027,"Fstl4","follistatin-like 4 ","protein_coding",411.079575796165,-0.36557529063079,0.776159311159948,0.000883045021753055,0.16979694275423,480,398,532,397,391,281,380,512,270,471
"ENSMUSG00000032586",22036,"Traip","TRAF-interacting protein ","protein_coding",168.090354503627,0.356393243007932,1.28022132297856,0.000959905090884187,0.182404553270134,136,162,115,157,183,216,194,142,224,153
"ENSMUSG00000097156",NA,"Gm3764","predicted gene 3764 ","lincRNA",626.212631618149,0.38360189290013,1.30459489920834,0.000972979297500985,0.182739088525999,597,613,488,657,747,590,880,376,826,489
"ENSMUSG00000043531",58178,"Sorcs1","sortilin-related VPS10 domain containing receptor 1 ","protein_coding",723.145858410206,-0.374209796115372,0.771527884105989,0.00100702906695437,0.184956765042564,861,686,859,665,757,492,618,920,458,915
"ENSMUSG00000027107",11435,"Chrna1","cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle) ","protein_coding",28.1117073295071,0.428141585410935,1.34549924870427,0.00100768916070738,0.184956765042564,17,15,25,31,26,46,44,18,33,25
"ENSMUSG00000046523",67516,"Kctd4","potassium channel tetramerisation domain containing 4 ","protein_coding",644.639778939992,0.421504038284374,1.33932309819623,0.00103244892197022,0.187372078513067,516,608,403,889,524,1215,606,492,782,412
"ENSMUSG00000064201",16681,"Krt2","keratin 2 ","protein_coding",20.9614309760655,0.381823726308095,1.30298793586374,0.00105578196343626,0.189477669704694,7,17,5,48,20,45,28,15,12,12
"ENSMUSG00000024211",14823,"Grm8","glutamate receptor, metabotropic 8 ","protein_coding",321.844385087706,-0.35128221983406,0.783887095174926,0.00110078964614729,0.194012444964435,332,296,361,269,300,237,252,422,302,447
"ENSMUSG00000021221",70127,"Dpf3","D4, zinc and double PHD fingers, family 3 ","protein_coding",93.9141609592894,0.393979807879387,1.31401323594494,0.00111466971997891,0.194012444964435,79,82,80,123,88,149,91,67,112,69
"ENSMUSG00000059974",235106,"Ntm","neurotrimin ","protein_coding",6480.69614220714,-0.243885412103627,0.844467957706352,0.00112989263546719,0.194012444964435,7512,6457,7506,6011,6611,5345,5999,7044,5432,6889
"ENSMUSG00000026387",319229,"Sctr","secretin receptor ","protein_coding",15.5185905932884,0.417453469818933,1.33556803484346,0.00113368377534052,0.194012444964435,10,14,13,20,20,23,22,10,19,4
"ENSMUSG00000110206",14256,"Flt3l","FMS-like tyrosine kinase 3 ligand ","protein_coding",28.7622770540269,0.419589492703646,1.33754691239411,0.00114110836253227,0.194012444964435,17,17,25,36,33,33,44,22,33,26
"ENSMUSG00000108414",NA,"Snhg1","small nucleolar RNA host gene 1 ","processed_transcript",169.530514070868,0.400150685161391,1.31964573660637,0.00117102730187121,0.197025343539831,153,157,129,162,175,204,187,106,295,126
"ENSMUSG00000049107",18205,"Ntf3","neurotrophin 3 ","protein_coding",66.3988866288807,0.4082997301345,1.32712083072991,0.00120659168978453,0.197852689821432,32,60,18,113,58,145,68,48,69,54
"ENSMUSG00000044912",238266,"Syt16","synaptotagmin XVI ","protein_coding",2417.72102914155,-0.223390480965704,0.856550088875943,0.00120960044571546,0.197852689821432,2793,2356,2580,2198,2241,2086,2142,2555,2412,2814
"ENSMUSG00000023886",64074,"Smoc2","SPARC related modular calcium binding 2 ","protein_coding",508.563639135176,0.385898538661549,1.30667335540748,0.00121486632491591,0.197852689821432,414,449,409,609,434,872,526,379,582,412
"ENSMUSG00000056737",12332,"Capg","capping protein (actin filament), gelsolin-like ","protein_coding",64.4558775943384,0.391578116898361,1.31182758458374,0.001229422197254,0.197852689821432,48,46,52,77,55,79,90,52,85,61
"ENSMUSG00000073725",68421,"Lmbrd1","LMBR1 domain containing 1 ","protein_coding",5052.71160436101,-0.188698497169125,0.877396893098186,0.00123732128939305,0.197852689821432,5271,5064,5431,4959,4975,4407,4543,5668,4637,5573
"ENSMUSG00000024521",58801,"Pmaip1","phorbol-12-myristate-13-acetate-induced protein 1 ","protein_coding",41.6903306557691,-0.396813271792176,0.759534145149363,0.00124944120615318,0.197852689821432,51,58,52,33,32,31,35,49,35,42
"ENSMUSG00000097195",NA,"Snhg5","small nucleolar RNA host gene 5 ","processed_transcript",176.599957211264,0.350377322223769,1.27489401929189,0.00128459130552819,0.201443871523217,148,170,152,184,182,199,191,148,266,127
"ENSMUSG00000047414",399558,"Flrt2","fibronectin leucine rich transmembrane protein 2 ","protein_coding",1353.95785450501,-0.292496396668686,0.816488008884768,0.00133000046879542,0.204628983079132,1591,1194,1548,1324,1215,1117,1203,1547,1113,1688
"ENSMUSG00000025154",71085,"Arhgap19","Rho GTPase activating protein 19 ","protein_coding",94.8706513450489,-0.363466788489137,0.777294499127636,0.00133024041749064,0.204628983079132,116,124,126,93,80,71,71,93,79,94
"ENSMUSG00000038085",70873,"Cnbd2","cyclic nucleotide binding domain containing 2 ","protein_coding",69.9125807297731,0.40699353275578,1.3259198165155,0.00135244279519592,0.20543720395309,53,58,37,71,85,75,85,46,114,75
"ENSMUSG00000040699",67803,"Limd2","LIM domain containing 2 ","protein_coding",2102.25533806488,0.323380093984287,1.25125869465005,0.00136093244322564,0.20543720395309,1804,2032,1587,2286,2021,3058,2182,1806,2400,1846
"ENSMUSG00000030890",16202,"Ilk","integrin linked kinase ","protein_coding",25.5425256562614,-0.416392550942933,0.749295893037722,0.00138858882166183,0.20767117266187,32,31,45,22,24,19,12,26,14,31
"ENSMUSG00000027589",245867,"Pcmtd2","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 ","protein_coding",1665.06961620332,-0.177152564778316,0.884446900262521,0.00150547290073001,0.223086222867809,1770,1655,1733,1594,1509,1576,1505,1890,1605,1813
"ENSMUSG00000004894",73940,"Hapln2","hyaluronan and proteoglycan link protein 2 ","protein_coding",454.63289624943,0.356550357955578,1.2803607515157,0.00154621595334322,0.227040727985452,319,516,335,466,551,597,476,334,554,399
"ENSMUSG00000037868",13654,"Egr2","early growth response 2 ","protein_coding",664.243683069447,-0.410665434797449,0.75227631054581,0.00157605252451814,0.229336940324477,702,952,1301,310,595,500,541,529,507,704
"ENSMUSG00000038594",100038725,"Cep85l","centrosomal protein 85-like ","protein_coding",108.78395837974,-0.380906894276331,0.767954693952839,0.00166403972320265,0.238699552874887,102,144,144,107,82,106,65,114,79,145
"ENSMUSG00000052102",26384,"Gnpda1","glucosamine-6-phosphate deaminase 1 ","protein_coding",371.509388583026,0.335515147124622,1.26182789278847,0.0016699510571361,0.238699552874887,293,302,340,535,421,464,383,325,326,325
"ENSMUSG00000063063",12386,"Ctnna2","catenin (cadherin associated protein), alpha 2 ","protein_coding",4011.46967428858,-0.193735676484058,0.874338797806592,0.00172398317655662,0.243632162236617,4384,3971,4403,3867,4065,3581,3630,4325,3484,4407
"ENSMUSG00000043155",242642,"Hpdl","4-hydroxyphenylpyruvate dioxygenase-like ","protein_coding",77.2566405992914,0.404396673248229,1.32353529981031,0.0017713107009401,0.243632162236617,63,61,50,93,58,139,85,71,107,46
"ENSMUSG00000050541",11548,"Adra1b","adrenergic receptor, alpha 1b ","protein_coding",689.187550398406,-0.28229296909671,0.82228307015535,0.00178045671572017,0.243632162236617,774,668,838,610,613,531,574,793,728,763
"ENSMUSG00000030075",18488,"Cntn3","contactin 3 ","protein_coding",695.356518787279,-0.341474573850497,0.789234225770409,0.00179457736345676,0.243632162236617,865,617,853,608,644,479,712,835,504,837
"ENSMUSG00000025050",71041,"Pcgf6","polycomb group ring finger 6 ","protein_coding",194.415212159289,0.304221776102285,1.23475240274143,0.00180264858817439,0.243632162236617,178,187,148,248,240,203,215,165,189,172
"ENSMUSG00000029672",27999,"Fam3c","family with sequence similarity 3, member C ","protein_coding",1760.53582440358,-0.195584640753598,0.873218959130473,0.00181394620794064,0.243632162236617,1963,1773,2027,1665,1676,1544,1708,1909,1574,1767
"ENSMUSG00000001741",16170,"Il16","interleukin 16 ","protein_coding",158.061101510806,0.377961839138196,1.29950468868046,0.00183174482464516,0.243632162236617,48,179,57,291,138,326,250,92,100,101
"ENSMUSG00000021337",214189,"Scgn","secretagogin, EF-hand calcium binding protein ","protein_coding",12.0908091463523,0.335940377234055,1.26219986765585,0.00184695525948303,0.243632162236617,1,9,5,22,13,36,12,7,9,7
"ENSMUSG00000022847",21832,"Thpo","thrombopoietin ","protein_coding",59.2774438975274,0.404486423034089,1.32361763925233,0.00185813569490325,0.243632162236617,32,60,33,65,88,58,98,36,65,59
"ENSMUSG00000064356",17706,"mt-Atp8","mitochondrially encoded ATP synthase 8 ","protein_coding",669.337690378187,0.395310149209876,1.31522547573883,0.0018594942608485,0.243632162236617,654,455,502,1415,1161,609,899,338,403,257
"ENSMUSG00000095407",622645,"Tmem200c","transmembrane protein 200C ","protein_coding",438.44874951951,-0.29078119719194,0.817459297048459,0.00187038064124199,0.243632162236617,509,421,498,401,421,325,420,554,366,470
